schedule_management_type,GSFS Schedule,,,
sp_flag,N,,,
,,,,
Count of ship_to_code,,,,
ship_to_code,short_name,auto_accept,Total,4/15/2025
43176200-S,"(S6)SMART TECH APPLIANCE REPAIR, INC",N,1,43176200-S
43177200-S,"(S6) UNIQUE REPAIR SERVICES, INC.",N,1,43177200-S
43198200-S,(S6) FIXAR,N,1,43198200-S
43213200-S,(S6)A GRACE DIGITAL SERVICE,N,1,43213200-S
43254200-S,"(S6)AFFORDABLE APPLIANCE REPAIR WA, LLC",N,1,43254200-S
43255200-S,(S6) DEVERA'S APPLIANCE REPAIR,N,1,43255200-S
43256200-S,(S6)FIEDLER SERVICE INC. DBA METRO TV AUDIOTECH APPLIANCES,N,1,43256200-S
43265200-S,(S6)BROOKINGS APPLIANCE,N,1,43265200-S
43270200-S,"(S6)DR DAN'S APPLIANCE SERVICE, LLC",N,1,43270200-S
43272200-S,"(S6)DOCTOR MAINTENANCE, LLC",N,1,43272200-S
43274200-S,"(S6)APPLIANCEMAN COLUMBUS, LLC",N,1,43274200-S
43276200-S,TV APPL ELECTRONICS SERVICE SOLUTIONS,N,1,43276200-S
43277200-S,"(S6)BTEC APPLIANCE REPAIR, LLC",N,1,43277200-S
43278200-S,"(S6)APPLIANCES GIANTS, LLC",N,1,43278200-S
43281200-S,(S6)STOCKTON REFRIGERATOR REPAIR,N,1,43281200-S
43283200-S,(S6)JTL SERVICE,N,1,43283200-S
43284200-S,Foster's Appliance & TV Repair,N,1,43284200-S
43285200-S,(S6)D-3 A-OK APPLIANCE SERVICE COMPANY,N,1,43285200-S
43287200-S,"(S6)RICH'S TV, INC.",N,1,43287200-S
43288200-S,"(S6)GOLDFISH APPLIANCE REPAIR, LLC",N,1,43288200-S
43289200-S,(S6)Applegate Appliance,N,1,43289200-S
43291200-S,(S6)APPLIANCE TECH NOW & SERVICES INC,N,1,43291200-S
43292200-S,"(S6)ATLAS APPLIANCE REPAIR, LLC",N,1,43292200-S
43293200-S,"(S6)B & K APPLIANCE SERVICES, INC",N,1,43293200-S
43295200-S,"FOSTER'S APPLIANCE, LLC",N,1,#N/A
43299200-S,"(S6)SANDIA APPLIANCE REPAIR, LLC",N,1,43299200-S
43302200-S,(S6)WEST APPLIANCE PARTS & SERVICES LLC,N,1,43302200-S
43304200-S,"(S6)AYERS APPLIANCE REPAIR, LLC",N,1,43304200-S
43306200-S,Mr. Appliance of MechanicsburgYork(,N,1,43306200-S
43309200-S,"(S6)MID MICHIGAN APPLIANCE DOCTOR, LLC",N,1,#N/A
43316200-S,(S6)Authorized Technical Services,N,1,#N/A
Grand Total,,,112,
