"seq","corp_cd","option_cd","option_cd_desc","option_val","use_flag","attribute1","attribute2","created_by","creation_date","last_updated_by","last_update_date"
336,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"40966200-S",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-07-25 05:31:22"
461,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"40976200-S",Y,ASC,,1,"2025-02-06 01:41:49",1,"2025-02-06 01:41:49"
338,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"40994200-S",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-07-25 05:31:22"
470,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"42473200",Y,ASC,,1,"2025-02-10 00:26:13",1,"2025-02-10 00:26:13"
851,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"42527200-S",Y,ASC,,1,"2025-02-28 05:48:48",1,"2025-02-28 05:48:48"
341,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"42536200-S",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-07-25 05:31:22"
342,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"42544201-S",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-07-25 05:31:22"
343,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"42607200-S",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-07-25 05:31:22"
344,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"42649200-S",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-07-25 05:31:22"
345,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"42724200-S",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-07-25 05:31:22"
852,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"42766200-S",Y,ASC,,1,"2025-02-28 05:48:48",1,"2025-02-28 05:48:48"
346,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"42768200-S",N,ASC,,1,"2024-07-25 05:31:22",1,"2025-04-29 00:27:52"
722,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"42784200-S",Y,ASC,,1,"2025-02-28 05:48:48",1,"2025-02-28 05:48:48"
462,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"42824200-S",Y,ASC,,1,"2025-02-06 01:41:49",1,"2025-02-06 01:41:49"
347,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"42824201-S",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-07-25 05:31:22"
456,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"42824202-S",Y,ASC,,1,"2025-02-06 01:41:49",1,"2025-02-06 01:41:49"
348,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"42841200-S",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-07-25 05:31:22"
349,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"42895200-S",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-07-25 05:31:22"
626,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"42928200-S",N,ASC,,1,"2025-02-06 01:41:49",1,"2025-03-23 12:58:38"
