"seq","corp_cd","locale","intent","main_keyword","second_keyword","third_keyword","simple_res_1","simple_res_2","rich_res_type","rich_res_title","rich_res_text","rich_res_image","rich_res_link_text_1","rich_res_link_url_1","rich_res_link_text_2","rich_res_link_url_2","rich_res_link_text_3","rich_res_link_url_3","suggestion","gscs_yn","gscs_product_cd","gscs_symp_cd","gscs_sub_symp_cd","created_by","creation_date","last_updated_by","last_update_date","service_type","followup_intent"
23445,us,en_US,int_live_chat_agents_msg_he,,,,"To resolve your issue fast, click here to share your details, and our agent will assist you soon! 😊",,RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=5411537757069&filterType=only,,,,,,,,,,63,"2024-11-27 22:27:16",254,"2025-03-20 14:04:29",CS,
23536,us,en_US,int_live_chat_agents_tv_out_pu,,,,"Hi there! 👋 I’m LG’s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.",RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=5411542976141&filterType=only,,,,,,,,,,63,"2025-02-11 20:41:40",254,"2025-03-31 14:25:22",CS,
23537,us,en_US,int_live_chat_agents_ref_out_pu,,,,"Hi there! 👋 I’m LG’s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.",RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=5411491503757&filterType=only,,,,,,,,,,63,"2025-02-11 20:41:40",254,"2025-03-18 15:41:32",CS,
23539,us,en_US,int_live_chat_agents_isp_out_pu,,,,"Hi there! 👋 I’m LG’s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.",RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=5550484949389&filterType=only,,,,,,,,,,63,"2025-02-11 20:41:40",254,"2025-03-18 15:41:32",CS,
23542,us,en_US,int_live_chat_agents_laptop_out_pu,,,,"Hi there! 👋 I’m LG’s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.

* Operation Hours: 7 AM - 8 PM (EST)",RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=8273615638413&filterType=only,,,,,,,,,,63,"2025-02-11 20:41:40",254,"2025-03-18 15:47:17",CS,
23543,us,en_US,int_live_chat_agents_mc_out_pu,,,,"Hi there! 👋 I’m LG’s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.",RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=5411576794509&filterType=only,,,,,,,,,,63,"2025-02-11 20:41:40",254,"2025-03-18 15:41:32",CS,
23544,us,en_US,int_live_chat_agents_vac_out_pu,,,,"Hi there! 👋 I’m LG’s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.",RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=9777730996237&filterType=only,,,,,,,,,,63,"2025-02-11 20:41:40",254,"2025-03-18 15:41:32",CS,
23546,us,en_US,int_live_chat_agents_dryer_out_pu,,,,"Hi there! 👋 I’m LG’s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.",RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=5411445926669&filterType=only,,,,,,,,,,63,"2025-02-12 01:54:20",254,"2025-03-18 15:41:32",CS,
23547,us,en_US,int_live_chat_agents_dishw_out_pu,,,,"Hi there! 👋 I’m LG’s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.",RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=5411445926669&filterType=only,,,,,,,,,,63,"2025-02-12 01:54:20",254,"2025-03-18 15:41:32",CS,
23548,us,en_US,int_live_chat_agents_ac_out_pu,,,,"Hi there! 👋 I’m LG’s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.",RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=35145055989901&filterType=only,,,,,,,,,,63,"2025-02-12 01:54:20",254,"2025-03-21 17:24:02",CS,
23549,us,en_US,int_live_chat_agents_oven_out_pu,,,,"Hi there! 👋 I’m LG’s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.",RR_02,,,,Live Chat Agents,https://zendesk-live-chat,,,,,,,,,,63,"2025-02-12 01:54:20",254,"2025-03-31 14:16:22",CS,
23550,us,en_US,int_live_chat_agents_range_out_pu,,,,"Hi there! 👋 I’m LG’s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.",RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=8186204097549&filterType=only,,,,,,,,,,63,"2025-02-12 01:54:20",254,"2025-03-18 15:41:32",CS,
23551,us,en_US,int_live_chat_agents_microw_out_pu,,,,"Hi there! 👋 I’m LG’s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.",RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=8186204097549&filterType=only,,,,,,,,,,63,"2025-02-12 01:54:20",254,"2025-03-18 15:41:32",CS,
23552,us,en_US,int_live_chat_agents_earbuds_out_pu,,,,"Hi there! 👋 I’m LG’s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.",RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=5411537757069&filterType=only,,,,,,,,,,63,"2025-02-12 01:54:20",254,"2025-03-18 15:41:32",CS,
23553,us,en_US,int_live_chat_agents_homeaudio_out_pu,,,,"Hi there! 👋 I’m LG’s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.",RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=5411537757069&filterType=only,,,,,,,,,,63,"2025-02-12 01:54:20",254,"2025-03-18 15:41:32",CS,
23554,us,en_US,int_live_chat_agents_styler_out_pu,,,,"Hi there! 👋 I’m LG’s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.",RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=9777730996237&filterType=only,,,,,,,,,,63,"2025-02-12 01:54:20",254,"2025-03-21 17:24:02",CS,
23555,us,en_US,int_live_chat_agents_washer_tl_out_pu,,,,"Hi there! 👋 I’m LG’s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.",RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=5411445926669&filterType=only,,,,,,,,,,63,"2025-02-12 01:54:20",254,"2025-03-18 15:41:33",CS,
23556,us,en_US,int_live_chat_agents_washer_fl_out_pu,,,,"Hi there! 👋 I’m LG’s virtual assistant, ready to connect you with a live agent.

Chats may be retained for support and internal purposes. For more details, check our <a style=""color: red"" href=""https://www.lg.com/us/legal"" target=""_blank"">Terms of Use</a> and <a style=""color: red"" href=""https://www.lg.com/us/privacy"" target=""_blank"">Privacy Policy</a>.","Please click the button to share your details, and an agent will assist you shortly.",RR_02,,,,Live Chat Agents,https://zendesk-live-chat?departmentFilter=5411445926669&filterType=only,,,,,,,,,,63,"2025-02-12 01:54:20",254,"2025-03-18 15:41:33",CS,
23585,us,en_US,int_live_chat_agents_ac_pu,,,,"To resolve your issue fast, click here to share your details, and our agent will assist you soon! 😊",,RR_02,,,"",Live Chat Agents,https://zendesk-live-chat?departmentFilter=35145055989901&filterType=only&popupFlag=Y,,,,,,N,,,,254,"2025-03-25 14:27:22",254,"2025-03-27 19:13:53",CS,
